Time,EventCode,EventType,Type,ComputerName,LogName,RecordNumber
"2017-01-06T12:50:42.000-0400",552,8,SuccessAudit,"BUSDEV-001",Security,880164029
"2017-01-06T12:51:38.000-0400",624,8,SuccessAudit,"BUSDEV-001",Security,954969911
"2017-01-06T12:51:40.000-0400",26,4,Information,HOST0167,System,412563225
"2017-01-06T12:51:41.000-0400",35,4,Information,HOST0201,System,176281539
"2017-01-06T12:52:39.000-0400",537,16,FailureAudit,"BUSDEV-001",Security,956743389
"2017-01-06T12:52:39.000-0400",7036,4,Information,HOST0167,System,899409987
"2017-01-06T13:49:37.000-0400",17,1,Error,HOST0167,System,836459770
"2017-01-06T13:50:40.000-0400",4673,0,Information,"BUSDEV-007",Security,860565331
"2017-01-06T13:50:42.000-0400",552,8,SuccessAudit,"BUSDEV-005",Security,517240100
"2017-01-06T13:51:38.000-0400",539,16,FailureAudit,"BUSDEV-004",Security,115365447
"2017-01-06T13:51:42.000-0400",4672,0,Information,"BUSDEV-007",Security,47781610
"2017-01-06T13:51:42.000-0400",19,4,Information,"BUSDEV-006",System,9143635
"2017-01-06T13:51:42.000-0400",4739,0,Information,"BUSDEV-008",Security,307147858
"2017-01-06T14:48:40.000-0400",29,1,Error,HOST0167,System,24539140
"2017-01-06T14:49:41.000-0400",29,1,Error,HOST0167,System,268198140
"2017-01-06T14:50:39.000-0400",17,1,Error,HOST0167,System,495197093
"2017-01-06T14:50:41.000-0400",7036,4,Information,HOST0167,System,726263513
"2017-01-06T14:50:42.000-0400",40961,2,Warning,HOST0201,System,326182431
"2017-01-06T14:52:37.000-0400",35,4,Information,HOST0201,System,809821018
"2017-01-06T14:52:38.000-0400",4672,0,Information,"BUSDEV-005",Security,597991208
"2017-01-06T14:52:39.000-0400",4673,0,Information,"BUSDEV-002",Security,787748792
"2017-01-06T14:52:41.000-0400",26,4,Information,HOST0167,System,768936270
"2017-01-06T15:47:42.000-0400",539,16,FailureAudit,"BUSDEV-002",Security,193229930
"2017-01-06T15:48:37.000-0400",552,8,SuccessAudit,"BUSDEV-007",Security,336044361
"2017-01-06T15:48:40.000-0400",29,1,Error,HOST0167,System,609121654
"2017-01-06T15:48:40.000-0400",4739,0,Information,"BUSDEV-005",Security,591476528
"2017-01-06T15:48:41.000-0400",40961,2,Warning,HOST0201,System,581871085
"2017-01-06T15:48:42.000-0400",642,8,SuccessAudit,"BUSDEV-006",Security,810105999
"2017-01-06T15:49:38.000-0400",4689,0,Information,"BUSDEV-001",Security,297134579
"2017-01-06T15:49:38.000-0400",7036,4,Information,HOST0167,System,879619855
"2017-01-06T15:49:42.000-0400",540,8,SuccessAudit,"BUSDEV-003",Security,703076301
"2017-01-06T15:50:38.000-0400",26,4,Information,HOST0167,System,175328792
"2017-01-06T15:50:39.000-0400",29,1,Error,HOST0167,System,649004213
"2017-01-06T15:51:37.000-0400",19,4,Information,"BUSDEV-008",System,582637669
"2017-01-06T15:51:38.000-0400",537,16,FailureAudit,"BUSDEV-003",Security,752042714
"2017-01-06T15:52:38.000-0400",26,4,Information,HOST0167,System,160341054
"2017-01-06T15:52:40.000-0400",35,4,Information,HOST0201,System,784758308
"2017-01-06T15:52:41.000-0400",17,1,Error,HOST0167,System,971505540
"2017-01-06T16:48:39.000-0400",17,1,Error,HOST0167,System,423582856
"2017-01-06T16:48:40.000-0400",40961,2,Warning,HOST0201,System,584309449
"2017-01-06T16:48:41.000-0400",26,4,Information,HOST0167,System,303596055
"2017-01-06T16:49:38.000-0400",4673,0,Information,"BUSDEV-001",Security,999053838
"2017-01-06T16:49:39.000-0400",29,1,Error,HOST0167,System,87109016
"2017-01-06T16:49:39.000-0400",40961,2,Warning,HOST0201,System,685932530
"2017-01-06T16:49:40.000-0400",40961,2,Warning,HOST0201,System,141986288
"2017-01-06T16:49:41.000-0400",17,1,Error,HOST0167,System,298701556
"2017-01-06T16:49:42.000-0400",29,1,Error,HOST0167,System,135747369
"2017-01-06T16:50:39.000-0400",35,4,Information,HOST0201,System,393415369
"2017-01-06T16:50:39.000-0400",35,4,Information,HOST0201,System,458383298
"2017-01-06T16:50:40.000-0400",35,4,Information,HOST0201,System,399371597
"2017-01-06T16:50:42.000-0400",7036,4,Information,HOST0167,System,602681959
"2017-01-06T16:50:42.000-0400",4726,0,Information,"BUSDEV-006",Security,282407040
"2017-01-06T16:51:40.000-0400",26,4,Information,HOST0167,System,538829441
"2017-01-06T16:51:42.000-0400",537,16,FailureAudit,"BUSDEV-002",Security,353296708
"2017-01-06T16:52:37.000-0400",17,1,Error,HOST0167,System,305400648
"2017-01-06T16:52:38.000-0400",528,8,SuccessAudit,"BUSDEV-004",Security,55919979
"2017-01-06T16:52:39.000-0400",1102,4,Information,"BUSDEV-005",Security,836893212
"2017-01-06T16:52:40.000-0400",4673,0,Information,"BUSDEV-004",Security,494589495
"2017-01-06T16:52:41.000-0400",17,1,Error,HOST0167,System,274831786
"2017-01-06T17:48:39.000-0400",7036,4,Information,HOST0167,System,295842775
"2017-01-06T17:48:41.000-0400",26,4,Information,HOST0167,System,173049803
"2017-01-06T17:49:37.000-0400",7036,4,Information,HOST0167,System,631772570
"2017-01-06T17:49:37.000-0400",552,8,SuccessAudit,"BUSDEV-006",Security,206830511
"2017-01-06T17:49:37.000-0400",26,4,Information,HOST0167,System,615970552
"2017-01-06T17:49:38.000-0400",40961,2,Warning,HOST0201,System,883998003
"2017-01-06T17:49:38.000-0400",1102,4,Information,"BUSDEV-006",Security,81685697
"2017-01-06T17:49:39.000-0400",7036,4,Information,HOST0167,System,77844700
"2017-01-06T17:49:39.000-0400",4726,0,Information,"BUSDEV-002",Security,51085366
"2017-01-06T17:49:40.000-0400",29,1,Error,HOST0167,System,573931121
"2017-01-06T17:49:42.000-0400",540,8,SuccessAudit,"BUSDEV-007",Security,32309427
"2017-01-06T17:50:37.000-0400",4717,0,Information,"BUSDEV-007",Security,193332610
"2017-01-06T17:50:39.000-0400",624,8,SuccessAudit,"BUSDEV-006",Security,637366737
"2017-01-06T17:50:39.000-0400",35,4,Information,HOST0201,System,360237297
"2017-01-06T17:50:40.000-0400",35,4,Information,HOST0201,System,824479663
"2017-01-06T17:50:40.000-0400",4726,0,Information,"BUSDEV-004",Security,28218479
"2017-01-06T17:50:40.000-0400",29,1,Error,HOST0167,System,325665884
"2017-01-06T17:50:41.000-0400",4673,0,Information,"BUSDEV-002",Security,27717783
"2017-01-06T17:50:42.000-0400",40961,2,Warning,HOST0201,System,821439899
"2017-01-06T17:51:37.000-0400",7036,4,Information,HOST0167,System,558426501
"2017-01-06T17:51:39.000-0400",35,4,Information,HOST0201,System,915212708
"2017-01-06T17:51:41.000-0400",17,1,Error,HOST0167,System,198497415
"2017-01-06T17:51:42.000-0400",4743,0,Information,"BUSDEV-003",Security,379882621
"2017-01-06T17:52:37.000-0400",17,1,Error,HOST0167,System,752113168
"2017-01-06T17:52:37.000-0400",29,1,Error,HOST0167,System,503271983
"2017-01-06T17:52:38.000-0400",40961,2,Warning,HOST0201,System,21487443
"2017-01-06T17:52:39.000-0400",4673,0,Information,"BUSDEV-007",Security,259699640
"2017-01-06T17:52:39.000-0400",17,1,Error,HOST0167,System,146814544
"2017-01-06T17:52:42.000-0400",537,16,FailureAudit,"BUSDEV-005",Security,398852080
"2017-01-06T18:48:38.000-0400",26,4,Information,HOST0167,System,228380027
"2017-01-06T18:48:40.000-0400",29,1,Error,HOST0167,System,685509639
"2017-01-06T18:48:40.000-0400",540,8,SuccessAudit,"BUSDEV-007",Security,5018593
"2017-01-06T18:48:42.000-0400",644,8,SuccessAudit,"BUSDEV-003",Security,898347030
"2017-01-06T18:49:37.000-0400",26,4,Information,HOST0167,System,561542841
"2017-01-06T18:49:38.000-0400",35,4,Information,HOST0201,System,375587041
"2017-01-06T18:49:38.000-0400",7036,4,Information,HOST0167,System,981011772
"2017-01-06T18:49:38.000-0400",26,4,Information,HOST0167,System,937965274
"2017-01-06T18:49:39.000-0400",624,8,SuccessAudit,"BUSDEV-006",Security,819622078
"2017-01-06T18:49:39.000-0400",17,1,Error,HOST0167,System,479449499
"2017-01-06T18:49:40.000-0400",7036,4,Information,HOST0167,System,530358241
"2017-01-06T18:49:41.000-0400",35,4,Information,HOST0201,System,750441604
"2017-01-06T18:49:41.000-0400",40961,2,Warning,HOST0201,System,449993705
"2017-01-06T18:49:41.000-0400",628,8,SuccessAudit,"BUSDEV-001",Security,612321119
"2017-01-06T18:49:42.000-0400",40961,2,Warning,HOST0201,System,981656599
"2017-01-06T18:49:42.000-0400",26,4,Information,HOST0167,System,138749148
"2017-01-06T18:49:42.000-0400",35,4,Information,HOST0201,System,435083362
"2017-01-06T18:50:37.000-0400",17,1,Error,HOST0167,System,28096226
"2017-01-06T18:50:39.000-0400",7036,4,Information,HOST0167,System,351379853
"2017-01-06T18:50:40.000-0400",624,8,SuccessAudit,"BUSDEV-008",Security,807803216
"2017-01-06T18:50:42.000-0400",528,8,SuccessAudit,"BUSDEV-007",Security,461359807
"2017-01-06T18:51:38.000-0400",29,1,Error,HOST0167,System,611072054
"2017-01-06T18:51:39.000-0400",40961,2,Warning,HOST0201,System,945329380
"2017-01-06T18:51:39.000-0400",40961,2,Warning,HOST0201,System,367922568
"2017-01-06T18:51:40.000-0400",17,1,Error,HOST0167,System,96291411
"2017-01-06T18:51:40.000-0400",29,1,Error,HOST0167,System,938225927
"2017-01-06T18:51:41.000-0400",628,8,SuccessAudit,"BUSDEV-002",Security,478671989
"2017-01-06T18:51:41.000-0400",4718,0,Information,"BUSDEV-008",Security,488678085
"2017-01-06T18:51:41.000-0400",29,1,Error,HOST0167,System,48185870
"2017-01-06T18:51:42.000-0400",4739,0,Information,"BUSDEV-004",Security,181986596
"2017-01-06T18:51:42.000-0400",17,1,Error,HOST0167,System,673851781
"2017-01-06T18:51:42.000-0400",537,16,FailureAudit,"BUSDEV-004",Security,579090743
"2017-01-06T18:52:38.000-0400",29,1,Error,HOST0167,System,792707146
"2017-01-06T18:52:38.000-0400",552,8,SuccessAudit,"BUSDEV-001",Security,443844772
"2017-01-06T18:52:39.000-0400",7036,4,Information,HOST0167,System,409410125
"2017-01-06T18:52:39.000-0400",642,8,SuccessAudit,"BUSDEV-007",Security,944592825
"2017-01-06T18:52:39.000-0400",624,8,SuccessAudit,"BUSDEV-005",Security,152237147
"2017-01-06T18:52:39.000-0400",528,8,SuccessAudit,"BUSDEV-006",Security,766546423
"2017-01-06T18:52:40.000-0400",26,4,Information,HOST0167,System,887604575
"2017-01-06T18:52:41.000-0400",26,4,Information,HOST0167,System,533364619
"2017-01-06T18:52:41.000-0400",7036,4,Information,HOST0167,System,871369901
"2017-01-06T18:52:42.000-0400",17,1,Error,HOST0167,System,744649872
"2017-01-06T19:48:39.000-0400",35,4,Information,HOST0201,System,632643678
"2017-01-06T19:48:39.000-0400",528,8,SuccessAudit,"BUSDEV-007",Security,348631186
"2017-01-06T19:48:40.000-0400",539,16,FailureAudit,"BUSDEV-005",Security,888527696
"2017-01-06T19:48:41.000-0400",17,1,Error,HOST0167,System,959739476
"2017-01-06T19:48:41.000-0400",4717,0,Information,"BUSDEV-005",Security,858591339
"2017-01-06T19:48:42.000-0400",35,4,Information,HOST0201,System,671377062
"2017-01-06T19:48:42.000-0400",26,4,Information,HOST0167,System,689370877
"2017-01-06T19:48:42.000-0400",29,1,Error,HOST0167,System,179735539
"2017-01-06T19:48:42.000-0400",29,1,Error,HOST0167,System,451799300
"2017-01-06T19:48:42.000-0400",4672,0,Information,"BUSDEV-008",Security,815123795
"2017-01-06T19:49:38.000-0400",642,8,SuccessAudit,"BUSDEV-002",Security,144705527
"2017-01-06T19:49:39.000-0400",528,8,SuccessAudit,"BUSDEV-006",Security,915521083
"2017-01-06T19:49:40.000-0400",17,1,Error,HOST0167,System,628781628
"2017-01-06T19:49:40.000-0400",40961,2,Warning,HOST0201,System,396943529
"2017-01-06T19:49:41.000-0400",40961,2,Warning,HOST0201,System,619664141
"2017-01-06T19:49:41.000-0400",7036,4,Information,HOST0167,System,726572016
"2017-01-06T19:49:42.000-0400",26,4,Information,HOST0167,System,251029384
"2017-01-06T19:49:42.000-0400",17,1,Error,HOST0167,System,561087504
"2017-01-06T19:50:37.000-0400",26,4,Information,HOST0167,System,610617146
"2017-01-06T19:50:38.000-0400",40961,2,Warning,HOST0201,System,119241193
"2017-01-06T19:50:39.000-0400",4689,0,Information,"BUSDEV-001",Security,273374132
"2017-01-06T19:50:39.000-0400",644,8,SuccessAudit,"BUSDEV-006",Security,696520817
"2017-01-06T19:50:39.000-0400",26,4,Information,HOST0167,System,987493328
"2017-01-06T19:50:40.000-0400",4673,0,Information,"BUSDEV-003",Security,143656733
"2017-01-06T19:50:40.000-0400",4672,0,Information,"BUSDEV-001",Security,37680164
"2017-01-06T19:50:41.000-0400",7036,4,Information,HOST0167,System,344883754
"2017-01-06T19:51:37.000-0400",35,4,Information,HOST0201,System,591347120
"2017-01-06T19:51:38.000-0400",528,8,SuccessAudit,"BUSDEV-001",Security,463358804
"2017-01-06T19:51:38.000-0400",624,8,SuccessAudit,"BUSDEV-004",Security,807328570
"2017-01-06T19:51:38.000-0400",35,4,Information,HOST0201,System,97038826
"2017-01-06T19:51:39.000-0400",4726,0,Information,"BUSDEV-001",Security,422286316
"2017-01-06T19:51:39.000-0400",7036,4,Information,HOST0167,System,957910877
"2017-01-06T19:51:39.000-0400",17,1,Error,HOST0167,System,461378674
"2017-01-06T19:51:39.000-0400",19,4,Information,"BUSDEV-007",System,938992337
"2017-01-06T19:51:40.000-0400",17,1,Error,HOST0167,System,823127781
"2017-01-06T19:51:40.000-0400",35,4,Information,HOST0201,System,358908169
"2017-01-06T19:51:40.000-0400",29,1,Error,HOST0167,System,974752940
"2017-01-06T19:51:41.000-0400",540,8,SuccessAudit,"BUSDEV-001",Security,569225547
"2017-01-06T19:51:41.000-0400",4673,0,Information,"BUSDEV-007",Security,850030291
"2017-01-06T19:51:41.000-0400",7036,4,Information,HOST0167,System,839963363
"2017-01-06T19:51:41.000-0400",537,16,FailureAudit,"BUSDEV-002",Security,974300960
"2017-01-06T19:51:41.000-0400",7036,4,Information,HOST0167,System,148339366
"2017-01-06T19:51:42.000-0400",29,1,Error,HOST0167,System,376638229
"2017-01-06T19:51:42.000-0400",29,1,Error,HOST0167,System,145206674
"2017-01-06T19:51:42.000-0400",644,8,SuccessAudit,"BUSDEV-004",Security,309580257
"2017-01-06T19:52:37.000-0400",642,8,SuccessAudit,"BUSDEV-005",Security,499143286
"2017-01-06T19:52:38.000-0400",29,1,Error,HOST0167,System,222817194
"2017-01-06T19:52:39.000-0400",40961,2,Warning,HOST0201,System,658608978
"2017-01-06T19:52:39.000-0400",26,4,Information,HOST0167,System,537044171
"2017-01-06T19:52:40.000-0400",644,8,SuccessAudit,"BUSDEV-001",Security,926617712
"2017-01-06T19:52:41.000-0400",35,4,Information,HOST0201,System,499814151
"2017-01-06T19:52:41.000-0400",17,1,Error,HOST0167,System,550861554
"2017-01-06T19:52:42.000-0400",40961,2,Warning,HOST0201,System,592317354
"2017-01-06T19:53:37.000-0400",4726,0,Information,"BUSDEV-001",Security,868937875
"2017-01-06T19:53:37.000-0400",26,4,Information,HOST0167,System,353969394
"2017-01-06T19:53:37.000-0400",40961,2,Warning,HOST0201,System,819335583
"2017-01-06T20:48:38.000-0400",4743,0,Information,"BUSDEV-002",Security,930912324
"2017-01-06T20:48:38.000-0400",29,1,Error,HOST0167,System,605241219
"2017-01-06T20:48:41.000-0400",628,8,SuccessAudit,"BUSDEV-001",Security,822279892
"2017-01-06T20:48:41.000-0400",4726,0,Information,"BUSDEV-002",Security,350887501
"2017-01-06T20:48:42.000-0400",537,16,FailureAudit,"BUSDEV-002",Security,396845461
"2017-01-06T20:48:42.000-0400",4672,0,Information,"BUSDEV-001",Security,838441694
"2017-01-06T20:48:42.000-0400",4689,0,Information,"BUSDEV-006",Security,358223741
"2017-01-06T20:48:42.000-0400",528,8,SuccessAudit,"BUSDEV-004",Security,137396850
"2017-01-06T20:49:37.000-0400",26,4,Information,HOST0167,System,160061206
"2017-01-06T20:49:37.000-0400",4717,0,Information,"BUSDEV-001",Security,19981369
"2017-01-06T20:49:37.000-0400",35,4,Information,HOST0201,System,128143642
"2017-01-06T20:49:37.000-0400",7036,4,Information,HOST0167,System,238224347
"2017-01-06T20:49:38.000-0400",540,8,SuccessAudit,"BUSDEV-004",Security,607590742
"2017-01-06T20:49:40.000-0400",644,8,SuccessAudit,"BUSDEV-002",Security,159498363
"2017-01-06T20:49:41.000-0400",40961,2,Warning,HOST0201,System,352161994
"2017-01-06T20:49:41.000-0400",35,4,Information,HOST0201,System,603915317
"2017-01-06T20:49:41.000-0400",40961,2,Warning,HOST0201,System,793512441
"2017-01-06T20:49:41.000-0400",29,1,Error,HOST0167,System,230730208
"2017-01-06T20:49:42.000-0400",17,1,Error,HOST0167,System,989263227
"2017-01-06T20:50:38.000-0400",529,16,FailureAudit,"BUSDEV-008",Security,975929398
"2017-01-06T20:50:38.000-0400",17,1,Error,HOST0167,System,379757553
"2017-01-06T20:50:38.000-0400",26,4,Information,HOST0167,System,221506816
"2017-01-06T20:50:39.000-0400",35,4,Information,HOST0201,System,75312965
"2017-01-06T20:50:40.000-0400",26,4,Information,HOST0167,System,926646717
"2017-01-06T20:50:40.000-0400",26,4,Information,HOST0167,System,307312242
"2017-01-06T20:50:41.000-0400",4672,0,Information,"BUSDEV-003",Security,680100022
"2017-01-06T20:50:41.000-0400",35,4,Information,HOST0201,System,111637065
"2017-01-06T20:50:42.000-0400",40961,2,Warning,HOST0201,System,728693427
"2017-01-06T20:51:37.000-0400",4726,0,Information,"BUSDEV-001",Security,900714482
"2017-01-06T20:51:37.000-0400",26,4,Information,HOST0167,System,262831752
"2017-01-06T20:51:37.000-0400",17,1,Error,HOST0167,System,268839308
"2017-01-06T20:51:38.000-0400",40961,2,Warning,HOST0201,System,39970265
"2017-01-06T20:51:38.000-0400",539,16,FailureAudit,"BUSDEV-006",Security,925273383
"2017-01-06T20:51:38.000-0400",7036,4,Information,HOST0167,System,948492290
"2017-01-06T20:51:38.000-0400",35,4,Information,HOST0201,System,465769514
"2017-01-06T20:51:38.000-0400",29,1,Error,HOST0167,System,775407784
"2017-01-06T20:51:39.000-0400",17,1,Error,HOST0167,System,174457762
"2017-01-06T20:51:39.000-0400",29,1,Error,HOST0167,System,30229698
"2017-01-06T20:51:39.000-0400",40961,2,Warning,HOST0201,System,817386276
"2017-01-06T20:51:40.000-0400",35,4,Information,HOST0201,System,37021360
"2017-01-06T20:51:40.000-0400",17,1,Error,HOST0167,System,70513728
"2017-01-06T20:51:40.000-0400",4726,0,Information,"BUSDEV-001",Security,923480997
"2017-01-06T20:51:41.000-0400",29,1,Error,HOST0167,System,9080804
"2017-01-06T20:51:41.000-0400",4673,0,Information,"BUSDEV-007",Security,261840510
"2017-01-06T20:51:42.000-0400",7036,4,Information,HOST0167,System,739578929
"2017-01-06T20:52:38.000-0400",26,4,Information,HOST0167,System,667809793
"2017-01-06T20:52:39.000-0400",29,1,Error,HOST0167,System,7517686
"2017-01-06T20:52:39.000-0400",4718,0,Information,"BUSDEV-007",Security,849069488
"2017-01-06T20:52:40.000-0400",4689,0,Information,"BUSDEV-001",Security,310102741
"2017-01-06T20:52:40.000-0400",628,8,SuccessAudit,"BUSDEV-006",Security,940833811
"2017-01-06T20:52:41.000-0400",528,8,SuccessAudit,"BUSDEV-007",Security,921612318
"2017-01-06T20:52:41.000-0400",7036,4,Information,HOST0167,System,811880086
"2017-01-06T20:52:42.000-0400",7036,4,Information,HOST0167,System,544117997
"2017-01-06T20:52:42.000-0400",35,4,Information,HOST0201,System,157680203
"2017-01-06T20:52:42.000-0400",7036,4,Information,HOST0167,System,323106083
"2017-01-06T20:53:38.000-0400",17,1,Error,HOST0167,System,929494565
"2017-01-06T20:53:38.000-0400",40961,2,Warning,HOST0201,System,429895782
"2017-01-06T20:53:38.000-0400",40961,2,Warning,HOST0201,System,749685350
"2017-01-06T21:48:40.000-0400",624,8,SuccessAudit,"BUSDEV-003",Security,761599070
"2017-01-06T21:48:40.000-0400",628,8,SuccessAudit,"BUSDEV-007",Security,776729252
"2017-01-06T21:48:40.000-0400",4718,0,Information,"BUSDEV-001",Security,137561627
"2017-01-06T21:48:40.000-0400",540,8,SuccessAudit,"BUSDEV-001",Security,624886214
"2017-01-06T21:48:40.000-0400",29,1,Error,HOST0167,System,184479216
"2017-01-06T21:48:41.000-0400",624,8,SuccessAudit,"BUSDEV-004",Security,715870286
"2017-01-06T21:48:42.000-0400",26,4,Information,HOST0167,System,329633619
"2017-01-06T21:48:42.000-0400",35,4,Information,HOST0201,System,983053746
"2017-01-06T21:49:37.000-0400",29,1,Error,HOST0167,System,243734932
"2017-01-06T21:49:37.000-0400",29,1,Error,HOST0167,System,575633912
"2017-01-06T21:49:37.000-0400",17,1,Error,HOST0167,System,623357028
"2017-01-06T21:49:38.000-0400",40961,2,Warning,HOST0201,System,446766306
"2017-01-06T21:49:38.000-0400",40961,2,Warning,HOST0201,System,495798969
"2017-01-06T21:49:38.000-0400",552,8,SuccessAudit,"BUSDEV-008",Security,235016921
"2017-01-06T21:49:38.000-0400",40961,2,Warning,HOST0201,System,240449177
"2017-01-06T21:49:39.000-0400",540,8,SuccessAudit,"BUSDEV-005",Security,277871743
"2017-01-06T21:49:39.000-0400",26,4,Information,HOST0167,System,176010982
"2017-01-06T21:49:39.000-0400",29,1,Error,HOST0167,System,562862944
"2017-01-06T21:49:39.000-0400",26,4,Information,HOST0167,System,824615615
"2017-01-06T21:49:41.000-0400",4739,0,Information,"BUSDEV-001",Security,694313029
"2017-01-06T21:49:41.000-0400",17,1,Error,HOST0167,System,509009827
"2017-01-06T21:49:42.000-0400",29,1,Error,HOST0167,System,550949679
"2017-01-06T21:49:42.000-0400",26,4,Information,HOST0167,System,543239964
"2017-01-06T21:49:42.000-0400",4743,0,Information,"BUSDEV-004",Security,186247134
"2017-01-06T21:50:37.000-0400",29,1,Error,HOST0167,System,872393061
"2017-01-06T21:50:37.000-0400",7036,4,Information,HOST0167,System,75020013
"2017-01-06T21:50:38.000-0400",528,8,SuccessAudit,"BUSDEV-002",Security,266643891
"2017-01-06T21:50:38.000-0400",7036,4,Information,HOST0167,System,230716675
"2017-01-06T21:50:39.000-0400",7036,4,Information,HOST0167,System,905463802
"2017-01-06T21:50:39.000-0400",17,1,Error,HOST0167,System,362642353
"2017-01-06T21:50:39.000-0400",624,8,SuccessAudit,"BUSDEV-005",Security,774848611
"2017-01-06T21:50:39.000-0400",4739,0,Information,"BUSDEV-008",Security,600219757
"2017-01-06T21:50:40.000-0400",4743,0,Information,"BUSDEV-002",Security,831206965
"2017-01-06T21:50:41.000-0400",4673,0,Information,"BUSDEV-002",Security,786315728
"2017-01-06T21:50:42.000-0400",35,4,Information,HOST0201,System,470640025
"2017-01-06T21:50:42.000-0400",19,4,Information,"BUSDEV-008",System,46212197
"2017-01-06T21:51:37.000-0400",4672,0,Information,"BUSDEV-001",Security,70509481
"2017-01-06T21:51:37.000-0400",4673,0,Information,"BUSDEV-003",Security,533917289
"2017-01-06T21:51:38.000-0400",17,1,Error,HOST0167,System,645438929
"2017-01-06T21:51:38.000-0400",40961,2,Warning,HOST0201,System,744264190
"2017-01-06T21:51:38.000-0400",35,4,Information,HOST0201,System,783715105
"2017-01-06T21:51:39.000-0400",528,8,SuccessAudit,"BUSDEV-004",Security,971909508
"2017-01-06T21:51:39.000-0400",40961,2,Warning,HOST0201,System,851618030
"2017-01-06T21:51:40.000-0400",35,4,Information,HOST0201,System,461864259
"2017-01-06T21:52:37.000-0400",17,1,Error,HOST0167,System,930824684
"2017-01-06T21:52:37.000-0400",26,4,Information,HOST0167,System,111661114
"2017-01-06T21:52:38.000-0400",40961,2,Warning,HOST0201,System,331507798
"2017-01-06T21:52:39.000-0400",17,1,Error,HOST0167,System,430185446
