Dec 12 2016 11:49:51 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fbryan, IP = 10.3.10.48, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 00:31:11 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = moh, IP = 10.1.10.211, Session disconnected. Session type = IPsec, Duration = 8h:30m:21s, Bytes xmt: 4606061, Bytes rcv: 912337, Reason: Connection Lost
Dec 13 2016 02:10:35 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = showser, IP = 10.1.10.147, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:47m:45s, Bytes xmt: 9704544, Bytes rcv: 801994, Reason: Connection Lost
Dec 13 2016 00:50:54 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kosullivan, IP = 10.2.10.51, Session disconnected. Session type = IKE, Duration = 8h:15m:4s, Bytes xmt: 20198781, Bytes rcv: 1960326, Reason: Connection Lost
Dec 13 2016 01:19:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = mkemmerer, IP = 10.2.10.3, Session disconnected. Session type = SSL, Duration = 8h:42m:53s, Bytes xmt: 14500684, Bytes rcv: 1415017, Reason: Connection Lost
Dec 13 2016 02:47:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = djohnson, IP = 10.3.10.180, Session disconnected. Session type = SSL, Duration = 9h:4m:28s, Bytes xmt: 22517957, Bytes rcv: 3995361, Reason: Connection Lost
Dec 13 2016 02:02:53 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = swrappe, IP = 10.1.10.188, Session disconnected. Session type = IKE, Duration = 8h:8m:3s, Bytes xmt: 19942121, Bytes rcv: 3449087, Reason: Connection Lost
Dec 13 2016 8:0:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 8:55:51 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cquinn, IP = 10.3.10.28, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 11:3:15 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.3.10.1, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 11:22:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 11:54:39 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 13:41:48 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.2.10.82, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 14:47:29 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = arangel, IP = 10.1.10.15, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 14:47:31 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 14:52:15 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.2.10.44, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 14:53:46 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.2.10.45, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 17:51:16 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = yowen, IP = 10.2.10.170, Session disconnected. Session type = SSL, Duration = 9h:50m:26s, Bytes xmt: 15557116, Bytes rcv: 258852, Reason: Connection Lost
Dec 13 2016 16:6:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pleuchs, IP = 10.1.10.156, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 16:28:6 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 16:43:0 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = hsham, IP = 10.1.10.231, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 16:50:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = basselin, IP = 10.1.10.172, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 17:00:33 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cquinn, IP = 10.3.10.28, Session disconnected. Session type = IPsec, Duration = 8h:4m:43s, Bytes xmt: 8418967, Bytes rcv: 1336931, Reason: Connection Lost
Dec 13 2016 17:14:42 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = sscallion, IP = 10.1.10.216, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 17:45:14 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = madeyemi, IP = 10.3.10.33, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 17:49:14 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ewilliams, IP = 10.1.10.133, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 13 2016 19:32:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.3.10.1, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:28m:53s, Bytes xmt: 6953330, Bytes rcv: 653021, Reason: Connection Lost
Dec 13 2016 21:03:37 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session disconnected. Session type = IKE, Duration = 9h:40m:47s, Bytes xmt: 17331907, Bytes rcv: 2625220, Reason: Connection Lost
Dec 13 2016 21:15:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = emaxwell, IP = 10.3.10.46, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:20m:55s, Bytes xmt: 7344201, Bytes rcv: 246819, Reason: Connection Lost
Dec 13 2016 23:23:47 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.2.10.82, Session disconnected. Session type = SSL, Duration = 9h:41m:57s, Bytes xmt: 587301, Bytes rcv: 70055, Reason: Connection Lost
Dec 14 2016 00:09:10 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = arangel, IP = 10.1.10.15, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:21m:20s, Bytes xmt: 18439445, Bytes rcv: 2365936, Reason: Connection Lost
Dec 14 2016 00:29:51 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apucci, IP = 10.3.10.53, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:42m:1s, Bytes xmt: 22484577, Bytes rcv: 4408491, Reason: Connection Lost
Dec 14 2016 00:24:57 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.2.10.44, Session disconnected. Session type = IKE, Duration = 9h:32m:7s, Bytes xmt: 11103468, Bytes rcv: 1465750, Reason: Connection Lost
Dec 14 2016 00:04:46 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.2.10.45, Session disconnected. Session type = SSL, Duration = 9h:10m:56s, Bytes xmt: 11340921, Bytes rcv: 668083, Reason: Connection Lost
Dec 14 2016 00:39:18 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pleuchs, IP = 10.1.10.156, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:32m:28s, Bytes xmt: 4431193, Bytes rcv: 79470, Reason: Connection Lost
Dec 14 2016 02:29:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session disconnected. Session type = TPsecOverNatT, Duration = 10h:0m:35s, Bytes xmt: 10652357, Bytes rcv: 1418656, Reason: Connection Lost
Dec 14 2016 02:41:04 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = hsham, IP = 10.1.10.231, Session disconnected. Session type = IPsec, Duration = 9h:57m:14s, Bytes xmt: 3924319, Bytes rcv: 456906, Reason: Connection Lost
Dec 14 2016 02:50:06 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = basselin, IP = 10.1.10.172, Session disconnected. Session type = SSL, Duration = 9h:59m:16s, Bytes xmt: 22640461, Bytes rcv: 2310854, Reason: Connection Lost
Dec 14 2016 02:26:55 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = sscallion, IP = 10.1.10.216, Session disconnected. Session type = IKE, Duration = 9h:12m:5s, Bytes xmt: 4078851, Bytes rcv: 668763, Reason: Connection Lost
Dec 14 2016 03:27:39 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = madeyemi, IP = 10.3.10.33, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:41m:49s, Bytes xmt: 13142674, Bytes rcv: 1261040, Reason: Connection Lost
Dec 14 2016 03:45:03 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ewilliams, IP = 10.1.10.133, Session disconnected. Session type = IKE, Duration = 9h:55m:13s, Bytes xmt: 5229643, Bytes rcv: 60425, Reason: Connection Lost
Dec 14 2016 8:2:35 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.3.10.4, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 8:16:12 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gbowser, IP = 10.3.10.22, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 9:6:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cmunson, IP = 10.3.10.45, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 9:56:46 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gbottazzi, IP = 10.3.10.18, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 11:2:13 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbridgland, IP = 10.2.10.25, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 11:18:44 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bgenin, IP = 10.3.10.9, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 11:35:2 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = tzielinski, IP = 10.3.10.51, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 11:49:26 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 14:26:29 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myavatkar, IP = 10.1.10.140, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 14:56:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = sle, IP = 10.1.10.72, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 16:36:08 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.3.10.4, Session disconnected. Session type = IKE, Duration = 8h:33m:18s, Bytes xmt: 16352366, Bytes rcv: 1730333, Reason: Connection Lost
Dec 14 2016 16:7:22 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fullian, IP = 21.75.127.225, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 17:43:06 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gbowser, IP = 10.3.10.22, Session disconnected. Session type = IPsec, Duration = 9h:26m:16s, Bytes xmt: 21053821, Bytes rcv: 3563962, Reason: Connection Lost
Dec 14 2016 16:29:44 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.2.10.69, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 16:47:7 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fyards, IP = 10.1.10.107, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 17:2:4 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bsimmel, IP = 10.1.10.80, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 17:26:28 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cmunson, IP = 10.3.10.45, Session disconnected. Session type = IPsec, Duration = 8h:19m:38s, Bytes xmt: 17566225, Bytes rcv: 13819, Reason: Connection Lost
Dec 14 2016 17:23:32 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rroberts, IP = 10.1.10.35, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 17:52:21 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cberztiss, IP = 10.1.10.100, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 18:01:49 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gbottazzi, IP = 10.3.10.18, Session disconnected. Session type = IPsec, Duration = 8h:4m:59s, Bytes xmt: 18425340, Bytes rcv: 3581881, Reason: Connection Lost
Dec 14 2016 19:08:10 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbridgland, IP = 10.2.10.25, Session disconnected. Session type = IKE, Duration = 8h:5m:20s, Bytes xmt: 14526118, Bytes rcv: 1511323, Reason: Connection Lost
Dec 14 2016 19:8:12 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 19:58:41 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bgenin, IP = 10.3.10.9, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:39m:51s, Bytes xmt: 11545209, Bytes rcv: 285375, Reason: Connection Lost
Dec 14 2016 19:20:22 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 14 2016 19:47:16 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = tzielinski, IP = 10.3.10.51, Session disconnected. Session type = IPsec, Duration = 8h:11m:26s, Bytes xmt: 13509233, Bytes rcv: 298466, Reason: Connection Lost
Dec 14 2016 21:03:21 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session disconnected. Session type = SSL, Duration = 9h:13m:31s, Bytes xmt: 4451552, Bytes rcv: 164709, Reason: Connection Lost
Dec 14 2016 23:41:46 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myavatkar, IP = 10.1.10.140, Session disconnected. Session type = SSL, Duration = 9h:14m:56s, Bytes xmt: 12322332, Bytes rcv: 1538219, Reason: Connection Lost
Dec 15 2016 00:04:12 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = sle, IP = 10.1.10.72, Session disconnected. Session type = SSL, Duration = 9h:7m:22s, Bytes xmt: 698195, Bytes rcv: 133938, Reason: Connection Lost
Dec 15 2016 01:39:44 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fullian, IP = 21.75.127.225, Session disconnected. Session type = IPsec, Duration = 9h:31m:54s, Bytes xmt: 1343681, Bytes rcv: 33269, Reason: Connection Lost
Dec 15 2016 01:52:40 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.2.10.69, Session disconnected. Session type = SSL, Duration = 9h:22m:50s, Bytes xmt: 7817014, Bytes rcv: 1460515, Reason: Connection Lost
Dec 15 2016 01:24:26 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = fyards, IP = 10.1.10.107, Session disconnected. Session type = SSL, Duration = 8h:36m:36s, Bytes xmt: 12684904, Bytes rcv: 785082, Reason: Connection Lost
Dec 15 2016 01:32:48 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bsimmel, IP = 10.1.10.80, Session disconnected. Session type = SSL, Duration = 8h:29m:58s, Bytes xmt: 758125, Bytes rcv: 129026, Reason: Connection Lost
Dec 15 2016 01:59:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rroberts, IP = 10.1.10.35, Session disconnected. Session type = SSL, Duration = 8h:35m:29s, Bytes xmt: 20990755, Bytes rcv: 694818, Reason: Connection Lost
Dec 15 2016 02:09:04 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cberztiss, IP = 10.1.10.100, Session disconnected. Session type = IKE, Duration = 8h:16m:14s, Bytes xmt: 23413916, Bytes rcv: 627363, Reason: Connection Lost
Dec 15 2016 04:18:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session disconnected. Session type = TPsecOverNatT, Duration = 9h:9m:37s, Bytes xmt: 4776434, Bytes rcv: 896573, Reason: Connection Lost
Dec 15 2016 03:22:19 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = iking, IP = 10.1.10.201, Session disconnected. Session type = SSL, Duration = 8h:1m:29s, Bytes xmt: 14142382, Bytes rcv: 63847, Reason: Connection Lost
Dec 15 2016 8:44:42 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gfacello, IP = 10.3.10.6, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 8:48:17 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.3.10.50, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 11:33:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = apreusig, IP = 10.2.10.92, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 13:33:25 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kperna, IP = 10.2.10.9, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 14:42:56 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = myuan, IP = 10.1.10.238, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 14:49:33 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = jcappelletti, IP = 10.1.10.111, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 14:50:41 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = kjoslin, IP = 10.2.10.55, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 16:10:33 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = cganttchart, IP = 10.1.10.31, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 16:21:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = spahkthecah, IP = 10.1.10.230, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Dec 15 2016 16:26:1 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = syoungin, IP = 10.1.10.241, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
